Line,Segment,RF Suggestion,XGB Suggestion
"('Central',)",Holland Park → Notting Hill Gate,⚠️ High noise detected (86.29 dB). Suggest reducing speed to 36.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (88.94 dB). Suggest reducing speed to 36.8 km/h to keep noise under 75 dB.
"('Central',)",Holland Park → Shepherds Bush,⚠️ High noise detected (86.29 dB). Suggest reducing speed to 36.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (83.06 dB). Suggest reducing speed to 36.8 km/h to keep noise under 75 dB.
"('Central',)",Tottenham Court Road → Holborn,⚠️ High noise detected (86.29 dB). Suggest reducing speed to 36.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (88.94 dB). Suggest reducing speed to 36.8 km/h to keep noise under 75 dB.
"('Jubilee',)",Green Park → Bond Street,⚠️ High noise detected (87.32 dB). Suggest reducing speed to 38.6 km/h to keep noise under 75 dB.,⚠️ High noise detected (87.32 dB). Suggest reducing speed to 38.6 km/h to keep noise under 75 dB.
"('Jubilee',)",St John's Wood → Baker Street,⚠️ High noise detected (87.32 dB). Suggest reducing speed to 38.6 km/h to keep noise under 75 dB.,⚠️ High noise detected (87.32 dB). Suggest reducing speed to 38.6 km/h to keep noise under 75 dB.
"('Northern',)",Camden Town → Euston,⚠️ High noise detected (84.28 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (86.53 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.
"('Northern',)",Camden Town → Kentish Town,⚠️ High noise detected (84.39 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (84.73 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.
"('Northern',)",Euston → Camden Town,⚠️ High noise detected (84.28 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (86.53 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.
"('Northern',)",Kentish Town → Camden Town,⚠️ High noise detected (84.39 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (84.73 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.
"('Northern',)",Kentish Town → Tufnell Park,⚠️ High noise detected (84.39 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (84.40 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.
"('Northern',)",South Wimbledon → Colliers Wood,⚠️ High noise detected (84.28 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (79.10 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.
"('Northern',)",South Wimbledon → Morden,⚠️ High noise detected (84.28 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.,⚠️ High noise detected (84.40 dB). Suggest reducing speed to 32.8 km/h to keep noise under 75 dB.
"('Victoria',)",Euston → King's Cross,⚠️ High noise detected (83.41 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.,⚠️ High noise detected (83.63 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.
"('Victoria',)",King's Cross → Euston,⚠️ High noise detected (83.41 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.,⚠️ High noise detected (83.63 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.
"('Victoria',)",Oxford Circus → Green Park,⚠️ High noise detected (83.41 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.,⚠️ High noise detected (77.80 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.
"('Victoria',)",Oxford Circus → Warren Street,⚠️ High noise detected (83.41 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.,⚠️ High noise detected (77.80 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.
"('Victoria',)",Pimlico → Victoria,⚠️ High noise detected (85.18 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.,⚠️ High noise detected (87.54 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.
"('Victoria',)",Stockwell → Vauxhall,⚠️ High noise detected (85.18 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.,⚠️ High noise detected (89.02 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.
"('Victoria',)",Vauxhall → Stockwell,⚠️ High noise detected (85.18 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.,⚠️ High noise detected (89.02 dB). Suggest reducing speed to 40.2 km/h to keep noise under 75 dB.
